Make,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21
AUDI,"6,794","165,668","217,581","474,869","140,757","137,384","116,091","5,304","150,146","302,968","399,005","282,236","343,184","323,385","107,719","358,381","223,387","105,051","12,516",0,"135,132","265,436","545,091","268,191","320,839","51,960","80,806",426,"65,752","212,198","181,456","92,605","609,671","691,925","176,233","301,791","156,914",0,"33,189"
BMW,"98,267","20,240","5,881",0,"72,930","119,657","53,811","45,276","1,393","110,319","234,142","98,621","64,006","56,351","254,200","44,782","6,986","197,113","39,486",420,"3,599","42,828","237,809","16,078","96,317","115,843","106,809",0,0,"95,438","100,845",638,"20,926","6,139","68,126","101,168","74,460","5,000","18,770"
CITROEN,"32,690","42,520","29,355","9,784","80,621","9,596","3,177","4,358","8,210","1,619","10,848",0,"3,535","3,193","35,800",790,"16,475","13,212",0,0,0,"22,356","28,584","23,583","23,539","15,170",0,0,0,"11,835","17,716","6,118","10,229",0,"16,140","4,928","10,358",0,0
DACIA,0,"16,593","8,746",0,"12,182","21,549",239,"5,000","5,000","6,232","11,416","4,380","18,844",0,0,0,"16,737","19,502","4,652","3,609",0,0,"29,668","32,950","31,027","27,691","20,322",0,0,"55,383","18,035",0,"16,675","6,895","23,647","17,288","20,140",0,0
FIAT,"78,733","188,237","120,669","6,750","1,800","61,496","129,417","17,463","18,297","2,520","186,190","25,913","1,890",0,0,0,0,"7,316","180,825","15,526","3,233",0,0,0,0,0,0,0,0,0,"6,664","22,040","8,757",0,0,0,0,0,0
FORD,"475,932","235,230","317,404","187,297","221,293","318,686","76,043",0,"221,858","536,474","555,179","143,905","338,322","226,811","377,073","145,311","343,428","588,307","133,403","15,142","199,815","517,333","556,907","107,356","397,379","334,951","180,673",0,0,"92,601","560,764","268,476","239,495","30,198","295,760","286,663","130,561","215,529","149,480"
HYUNDAI,"577,147","582,486","355,984",0,"253,245","583,545","88,835",0,0,0,"923,756","324,535","474,319","449,532","285,366",0,"81,870","468,298",0,0,0,0,"740,652","440,876","479,796","445,695","285,617",0,0,"230,635","48,272",0,0,0,"399,108","725,129","351,846","174,376","192,926"
KIA,"343,614","321,526","1,534","48,077","254,246","206,508",216,"1,121","10,297","247,778","267,875","32,521","186,049","202,474","37,958","3,089","84,900","168,514",0,"11,470","61,577","305,664","175,494","1,866","236,591","162,360",0,0,0,"14,774","6,670",0,0,"73,776","64,019","51,990","44,648","23,688","88,044"
MAZDA,"53,216","83,153","11,531","1,741","14,683","140,017","62,836","1,534","1,534","172,835","181,552","10,851","53,020","101,292","1,534","1,534","208,138","68,127",0,"1,534","1,534","31,148","245,615","50,256","23,552","45,368","3,334",0,"1,275","1,551",385,"1,619","1,416","1,443","32,124","91,288","61,244","2,109","1,739"
MERCEDES,"163,836","87,871","26,537","58,638","7,963","84,801","52,644","8,890","91,830","44,479","97,047","31,791","65,524","101,429","45,289","4,531","3,278","77,514","53,411","1,790","3,126","77,924","140,129","45,201","111,044","99,957","12,857","6,275","2,205","7,048","39,879","1,121","1,416","80,136","40,116","68,863","88,810","13,395","79,529"
MITSUBISHI,"239,516","14,565","6,667","23,051","3,540","158,741","9,288",0,"2,187","11,356","63,865","42,510","79,292","43,921","1,532","18,570","6,070","26,777",0,0,"5,346",0,"40,713","32,179","85,806","120,200","36,336",0,0,"31,926","6,500","5,000",0,0,546,"13,650","9,100",0,0
NISSAN,"219,030","370,406","130,742","278,795","325,590","588,192","177,946","7,800","2,160","167,213","340,911","94,472","260,519","109,731","105,973",0,"316,468","205,515","107,465","3,024","20,043","147,362","657,720","150,928","350,404","250,457",0,0,"73,775","47,038",0,0,0,"4,887","120,394","58,830","146,657","152,923","42,429"
OPEL,"320,374","234,729","263,849","96,679","266,537","264,843","160,377","62,295","2,511","269,678","337,191","187,613","291,346","239,196","234,340","84,712","137,697","351,738","295,309","77,289",667,"287,886","361,339","7,171","41,282","292,727","102,686",0,467,"31,246","7,688",0,0,"40,454","33,562","11,481","1,416","51,432","196,932"
PEUGEOT,"349,662","158,008","9,177","97,217","195,821","221,084","91,008",0,"10,336","33,984","528,011","104,896","94,736","324,798","101,643",974,"77,445","410,584","41,204",0,"3,179","113,328","389,295","41,381","179,877","92,032","76,848",0,0,"168,379","58,584",430,0,"16,135","339,316","61,327","263,206","132,142","55,863"
RENAULT,"238,518","222,949","256,468","144,238","418,135","662,503","120,999","24,966","153,853","45,449","719,747","315,488","417,176","116,450","156,416","9,345","274,381","415,629","208,265","59,270","81,376","118,533","909,732","445,042","409,392","315,563","191,902","27,500","65,728","461,550","197,515",0,"99,835","31,642","428,724","329,516","325,711",5,"27,460"
SEAT ,"108,747","154,513","85,932","60,053","65,956","250,515","70,514","20,080",792,"165,055","226,899","59,506","107,403","204,319","414,201","53,512","151,978","273,993","3,798","6,568","13,876","251,279","99,138","15,597","243,910","184,895","38,085","13,472","30,532","349,672","46,130","27,686","21,692","169,083","124,696","12,586","148,421","19,230","119,792"
SKODA,"307,261","238,833","165,670","47,161","66,061","247,641","27,493","2,500","47,911","286,651","360,346","156,225","225,500","161,562","180,794",181,"137,153","302,673","83,756","22,896","74,915","550,611","313,197","138,891","303,719","205,132","128,173",0,0,"132,792","76,526","81,520","13,653","323,209","278,651","270,477","395,187","132,250","49,521"
SUZUKI,0,0,0,0,0,0,0,0,0,0,0,"1,559",0,0,0,0,"27,826","25,838",0,0,0,0,"4,500","5,167",0,0,0,0,0,"16,828","41,874",0,0,0,0,0,0,0,0
TOYOTA,"683,856","573,897","270,534","158,232","136,638","646,877","174,378","8,428","63,775","282,104","886,794","294,878","597,984","475,648","273,593","149,347","108,908","848,831","163,944","2,618","64,039","236,105","901,662","309,121","699,121","470,794","130,263","12,742","18,307","395,364","94,715","4,300","7,775","105,710","686,772","255,450","236,764","83,180","276,425"
VOLKSWAGEN,"579,719","499,381","333,222","88,226","438,229","685,269","314,247","112,906","103,066","318,722","493,335","194,533","528,179","369,683","251,082","72,185","597,054","775,594","194,222","77,205","331,221","542,624","517,698","181,354","269,969","264,575","234,159","66,352","93,014","319,657","350,490","105,342","212,772","226,652","276,702","277,433","287,013","118,912","254,049"
VOLVO,"80,109","85,121","88,558","16,094","65,644","189,733",273,0,304,"236,431","113,237","57,564","31,548","34,895","22,198","15,867","78,315","143,664","5,401",0,"41,287","179,960","175,899","79,070","101,264","27,947","24,396",0,4,"19,451","9,431",0,0,"86,572","114,724","4,490","129,184","80,960","6,395"
